"Amaryllis","Argus vert","Azuré des nerpruns","Azuré porte-queue","Belle-Dame","Brun des pélargoniums","Carte géographique","Citrons","Demi-Deuil et Echiquiers","Flambés","Gazé","Grand Nacré et Tabac d'Espagne","Grande Tortue","Machaons","Mars changeants","Myrtil","Paon du jour","Petites Tortues","Procris","Robert le diable","Silène","Souci","Tircis","Tristan","Vulcain"
0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,20,0,0,16,0,0,2,0,0,1
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0
0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,5,2,0,0,0,0,0,12,0,0,12,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
0,0,6,7,0,0,0,18,16,20,12,0,0,0,0,12,0,0,6,0,0,0,0,0,0
1,0,17,0,0,1,0,12,11,7,8,0,0,0,0,0,0,0,3,0,0,0,3,0,0
0,0,0,0,0,0,0,25,6,15,10,0,0,0,0,18,0,0,3,0,2,0,0,0,2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
